Time,Diffuse radiation (W/m2),Direct solar radiation (W/m2),Global radiation (W/m2),Long wave outgoing solar radiation (W/m2),Long wave solar radiation  (W/m2),Radiation balance (W/m2),Reflected radiation (W/m2),Sunshine duration (s),Ultraviolet irradiance (index)
2025-04-21 00:00:00,3.6,0.0,-1.0,,340.5,,,0.0,0.0
2025-04-21 00:01:00,4.5,0.0,-1.0,,340.4,,,0.0,0.0
2025-04-21 00:02:00,6.1,0.1,-0.8,,340.6,,,0.0,0.1
2025-04-21 00:03:00,4.4,0.1,-0.9,,340.5,,,0.0,0.0
2025-04-21 00:04:00,3.9,0.3,-0.6,,340.7,,,0.0,0.0
2025-04-21 00:05:00,5.2,0.3,-0.8,,340.6,,,0.0,0.1
2025-04-21 00:06:00,4.9,0.3,-0.5,,340.7,,,0.0,0.0
2025-04-21 00:07:00,4.1,0.3,-0.1,,340.8,,,0.0,0.0
2025-04-21 00:08:00,5.5,0.3,-0.3,,340.7,,,0.0,0.0
2025-04-21 00:09:00,5.3,0.3,-0.1,,340.8,,,0.0,0.0
2025-04-21 00:10:00,4.5,0.3,0.0,,340.9,,,0.0,0.0
2025-04-21 00:11:00,5.5,0.2,-0.1,,340.9,,,0.0,0.1
2025-04-21 00:12:00,5.2,0.2,-0.2,,340.9,,,0.0,0.0
2025-04-21 00:13:00,3.8,0.2,-0.2,,340.9,,,0.0,0.0
2025-04-21 00:14:00,5.2,0.2,-0.1,,341.0,,,0.0,0.1
2025-04-21 00:15:00,5.1,0.3,-0.3,,341.0,,,0.0,0.0
2025-04-21 00:16:00,3.8,0.4,-0.3,,341.1,,,0.0,0.0
2025-04-21 00:17:00,4.5,0.4,-0.3,,341.1,,,0.0,0.0
2025-04-21 00:18:00,4.6,0.3,-0.2,,341.1,,,0.0,0.0
2025-04-21 00:19:00,4.4,0.4,-0.1,,341.2,,,0.0,0.0
2025-04-21 00:20:00,4.5,0.2,-0.4,,341.2,,,0.0,0.1
2025-04-21 00:21:00,5.0,0.4,-0.2,,341.2,,,0.0,0.0
2025-04-21 00:22:00,4.3,0.4,-0.1,,341.3,,,0.0,0.0
2025-04-21 00:23:00,4.2,0.5,0.0,,341.4,,,0.0,0.0
2025-04-21 00:24:00,5.0,0.5,0.0,,341.5,,,0.0,0.1
2025-04-21 00:25:00,5.0,0.4,-0.1,,341.4,,,0.0,0.0
2025-04-21 00:26:00,4.6,0.4,-0.2,,341.4,,,0.0,0.1
2025-04-21 00:27:00,5.2,0.4,-0.2,,341.3,,,0.0,0.0
2025-04-21 00:28:00,4.3,0.4,-0.3,,341.4,,,0.0,0.0
2025-04-21 00:29:00,4.5,0.3,-0.2,,341.4,,,0.0,0.0
2025-04-21 00:30:00,5.1,0.4,0.1,,341.5,,,0.0,0.0
2025-04-21 00:31:00,5.5,0.4,0.0,,341.5,,,0.0,0.0
2025-04-21 00:32:00,3.6,0.4,0.1,,341.5,,,0.0,0.0
2025-04-21 00:33:00,5.8,0.4,0.1,,341.5,,,0.0,0.0
2025-04-21 00:34:00,5.7,0.2,-0.2,,341.5,,,0.0,0.0
2025-04-21 00:35:00,4.0,0.3,-0.1,,341.5,,,0.0,0.0
2025-04-21 00:36:00,4.8,0.1,-0.4,,341.4,,,0.0,0.0
2025-04-21 00:37:00,5.5,0.0,-0.6,,341.3,,,0.0,0.0
2025-04-21 00:38:00,4.3,0.0,-0.6,,341.2,,,0.0,0.1
2025-04-21 00:39:00,5.4,-0.1,-0.9,,341.1,,,0.0,0.0
2025-04-21 00:40:00,5.1,-0.2,-0.8,,341.1,,,0.0,0.0
2025-04-21 00:41:00,4.4,-0.1,-0.6,,341.1,,,0.0,0.0
2025-04-21 00:42:00,4.5,-0.2,-0.8,,341.0,,,0.0,0.1
2025-04-21 00:43:00,4.9,0.0,-0.3,,341.3,,,0.0,0.0
2025-04-21 00:44:00,5.6,-0.1,-0.3,,341.2,,,0.0,0.0
2025-04-21 00:45:00,4.3,0.0,-0.1,,341.2,,,0.0,0.0
2025-04-21 00:46:00,5.4,-0.1,-0.4,,341.2,,,0.0,0.0
2025-04-21 00:47:00,4.0,-0.1,-0.4,,341.1,,,0.0,0.0
2025-04-21 00:48:00,4.6,-0.1,-0.3,,341.2,,,0.0,0.1
2025-04-21 00:49:00,5.4,-0.1,-0.4,,341.2,,,0.0,0.0
2025-04-21 00:50:00,4.9,-0.2,-0.6,,341.1,,,0.0,0.0
2025-04-21 00:51:00,4.7,-0.2,-0.7,,341.1,,,0.0,0.1
2025-04-21 00:52:00,5.9,-0.1,-0.6,,341.1,,,0.0,0.0
2025-04-21 00:53:00,5.3,0.0,-0.5,,341.2,,,0.0,0.0
2025-04-21 00:54:00,4.5,0.0,-0.6,,341.2,,,0.0,0.0
2025-04-21 00:55:00,5.2,0.0,-0.8,,341.1,,,0.0,0.0
2025-04-21 00:56:00,4.9,0.0,-0.6,,341.1,,,0.0,0.0
2025-04-21 00:57:00,4.6,0.0,-0.6,,341.2,,,0.0,0.0
2025-04-21 00:58:00,5.6,-0.1,-0.6,,341.1,,,0.0,0.0
2025-04-21 00:59:00,4.5,0.0,-0.7,,341.1,,,0.0,0.0
2025-04-21 01:00:00,4.6,-0.1,-0.9,,341.1,,,0.0,0.1
