Time,Air temperature (degC),Cloud amount (1/8),Dew-point temperature (degC),Wind direction (deg),Wind speed (m/s),Relative humidity (%),Precipitation amount (mm)
2025-10-03 00:00:00,3.8,0.0,3.2,36.0,2.8,96.0,0.0
2025-10-03 00:10:00,3.6,0.0,3.1,32.0,2.7,96.0,
2025-10-03 00:20:00,3.7,0.0,3.1,31.0,3.0,96.0,
2025-10-03 00:30:00,3.4,0.0,2.8,30.0,2.4,96.0,
2025-10-03 00:40:00,3.2,0.0,2.7,30.0,2.1,96.0,
2025-10-03 00:50:00,3.2,0.0,2.7,29.0,2.5,97.0,
2025-10-03 01:00:00,3.0,0.0,2.5,32.0,2.7,97.0,0.0
2025-10-03 01:10:00,2.9,0.0,2.6,31.0,2.5,97.0,
2025-10-03 01:20:00,3.1,0.0,2.6,31.0,2.4,97.0,
2025-10-03 01:30:00,2.9,0.0,2.5,33.0,2.4,97.0,
2025-10-03 01:40:00,2.9,0.0,2.5,33.0,2.8,97.0,
2025-10-03 01:50:00,2.8,0.0,2.5,38.0,3.3,98.0,
2025-10-03 02:00:00,2.9,0.0,2.5,36.0,3.3,97.0,0.0
2025-10-03 02:10:00,2.8,0.0,2.3,33.0,3.1,97.0,
2025-10-03 02:20:00,2.8,0.0,2.3,38.0,3.2,97.0,
2025-10-03 02:30:00,3.1,0.0,2.5,46.0,3.0,96.0,
2025-10-03 02:40:00,3.7,0.0,2.7,46.0,3.0,94.0,
2025-10-03 02:50:00,3.1,0.0,2.2,44.0,2.9,94.0,
2025-10-03 03:00:00,3.0,0.0,2.1,45.0,2.9,94.0,0.0
2025-10-03 03:10:00,3.0,0.0,2.2,46.0,2.8,95.0,
2025-10-03 03:20:00,3.3,0.0,2.4,46.0,3.0,94.0,
2025-10-03 03:30:00,3.1,0.0,2.2,46.0,2.9,94.0,
2025-10-03 03:40:00,3.8,0.0,2.6,50.0,3.4,92.0,
2025-10-03 03:50:00,4.1,0.0,2.1,48.0,3.4,87.0,
2025-10-03 04:00:00,4.1,0.0,2.0,47.0,3.5,86.0,0.0
2025-10-03 04:10:00,4.3,0.0,1.9,45.0,4.2,84.0,
2025-10-03 04:20:00,4.4,1.0,1.8,41.0,4.8,83.0,
2025-10-03 04:30:00,3.7,3.0,1.8,66.0,2.8,87.0,
2025-10-03 04:40:00,3.5,5.0,1.9,49.0,3.5,89.0,
2025-10-03 04:50:00,4.1,7.0,1.8,46.0,3.6,85.0,
2025-10-03 05:00:00,4.8,8.0,1.5,51.0,4.1,79.0,0.0
2025-10-03 05:10:00,4.9,8.0,1.4,53.0,4.3,78.0,
2025-10-03 05:20:00,4.9,8.0,1.5,71.0,2.6,79.0,
2025-10-03 05:30:00,5.3,8.0,1.2,66.0,2.8,75.0,
2025-10-03 05:40:00,5.3,8.0,1.3,71.0,3.1,75.0,
2025-10-03 05:50:00,5.4,8.0,1.1,72.0,2.6,74.0,
2025-10-03 06:00:00,5.6,8.0,0.9,65.0,3.6,72.0,0.0
2025-10-03 06:10:00,5.7,8.0,0.9,65.0,3.6,71.0,
2025-10-03 06:20:00,5.7,8.0,0.7,64.0,3.8,70.0,
2025-10-03 06:30:00,5.8,8.0,0.7,58.0,4.3,70.0,
2025-10-03 06:40:00,5.9,8.0,0.6,54.0,4.0,69.0,
2025-10-03 06:50:00,5.9,8.0,0.7,50.0,3.6,69.0,
2025-10-03 07:00:00,5.6,8.0,0.7,57.0,3.5,71.0,0.0
2025-10-03 07:10:00,5.8,8.0,0.5,54.0,3.3,69.0,
2025-10-03 07:20:00,5.9,8.0,0.6,45.0,3.2,69.0,
2025-10-03 07:30:00,5.9,8.0,0.6,44.0,3.7,69.0,
2025-10-03 07:40:00,5.8,8.0,0.9,50.0,4.0,70.0,
2025-10-03 07:50:00,6.1,8.0,0.5,48.0,3.8,68.0,
2025-10-03 08:00:00,6.0,8.0,0.7,51.0,3.1,69.0,0.0
2025-10-03 08:10:00,6.0,8.0,0.8,67.0,2.5,69.0,
2025-10-03 08:20:00,6.2,8.0,0.6,52.0,3.2,67.0,
2025-10-03 08:30:00,6.2,8.0,0.9,48.0,3.4,69.0,
2025-10-03 08:40:00,6.1,8.0,0.8,61.0,2.9,69.0,
2025-10-03 08:50:00,6.2,8.0,0.7,66.0,3.3,68.0,
2025-10-03 09:00:00,6.3,8.0,0.9,54.0,4.3,68.0,0.0
2025-10-03 09:10:00,6.3,8.0,1.0,56.0,3.8,69.0,
2025-10-03 09:20:00,6.4,8.0,1.0,65.0,3.5,68.0,
2025-10-03 09:30:00,6.5,8.0,1.0,67.0,3.5,68.0,
2025-10-03 09:40:00,6.5,8.0,1.0,64.0,3.8,68.0,
2025-10-03 09:50:00,6.4,8.0,1.0,65.0,3.6,68.0,
