temperature (°C),cloud_cover (%),precipitation_amount (mm/h),wind_speed (m/s),wind_direction (°),humidity (%),pressure (hPa),Time
5.51,100.0,0.082,2.3,72.8,97.5,1009.5,2025-04-20 21:00:00
5.46,100.0,0.2,2.5,88.0,97.7,1009.4,2025-04-20 22:00:00
5.39,100.0,0.535,3.0,75.2,97.8,1009.4,2025-04-20 23:00:00
5.34,100.0,1.932,3.2,62.3,97.7,1009.0,2025-04-21 00:00:00
5.09,100.0,2.35,3.2,61.0,96.8,1008.9,2025-04-21 01:00:00
4.85,100.0,2.065,3.5,64.5,96.0,1008.7,2025-04-21 02:00:00
4.67,99.9,2.586,3.6,78.1,95.7,1009.0,2025-04-21 03:00:00
4.62,100.0,1.473,3.5,63.3,95.6,1008.9,2025-04-21 04:00:00
4.66,100.0,1.452,3.6,62.6,94.5,1008.9,2025-04-21 05:00:00
4.63,99.7,1.802,3.6,58.8,93.9,1009.1,2025-04-21 06:00:00
4.64,99.6,0.825,3.7,55.0,92.6,1009.5,2025-04-21 07:00:00
4.8,100.0,0.886,3.6,50.5,91.7,1010.0,2025-04-21 08:00:00
5.01,100.0,1.614,3.5,40.4,90.7,1010.6,2025-04-21 09:00:00
5.17,100.0,0.928,3.6,39.6,90.4,1011.3,2025-04-21 10:00:00
5.42,100.0,0.385,3.7,38.3,89.4,1012.0,2025-04-21 11:00:00
5.55,100.0,0.211,3.8,37.0,89.4,1012.6,2025-04-21 12:00:00
5.67,100.0,0.187,3.4,33.3,89.8,1013.2,2025-04-21 13:00:00
5.79,100.0,0.139,3.4,35.9,89.4,1013.8,2025-04-21 14:00:00
6.06,100.0,0.034,3.7,38.7,88.0,1014.2,2025-04-21 15:00:00
6.89,100.0,0.0,3.8,33.7,83.2,1014.5,2025-04-21 16:00:00
6.27,100.0,0.0,4.0,35.5,85.1,1014.9,2025-04-21 17:00:00
6.17,100.0,0.0,3.9,36.6,83.1,1015.4,2025-04-21 18:00:00
5.72,100.0,0.0,3.2,37.1,83.8,1016.1,2025-04-21 19:00:00
5.66,100.0,0.0,2.9,38.5,83.5,1016.6,2025-04-21 20:00:00
5.67,97.9,0.0,3.3,42.2,82.0,1016.8,2025-04-21 21:00:00
5.8,100.0,0.0,2.9,41.6,80.4,1017.2,2025-04-21 22:00:00
5.79,100.0,0.0,3.1,38.5,80.1,1017.4,2025-04-21 23:00:00
5.66,99.8,0.0,3.4,40.6,80.7,1017.4,2025-04-22 00:00:00
5.46,100.0,0.0,3.0,53.4,81.8,1017.5,2025-04-22 01:00:00
5.71,95.0,0.0,3.6,70.5,80.3,1017.7,2025-04-22 02:00:00
5.6,85.4,0.0,4.2,73.1,80.9,1017.8,2025-04-22 03:00:00
5.12,92.2,0.0,4.9,79.1,83.0,1018.0,2025-04-22 04:00:00
5.92,100.0,0.0,5.3,85.7,79.7,1018.4,2025-04-22 05:00:00
5.23,100.0,0.0,5.7,88.0,80.4,1019.0,2025-04-22 06:00:00
5.14,100.0,0.005,5.8,87.9,78.6,1019.0,2025-04-22 07:00:00
5.04,100.0,0.01,5.9,87.8,76.9,1019.0,2025-04-22 08:00:00
4.94,100.0,0.015,6.0,87.8,75.1,1019.0,2025-04-22 09:00:00
4.93,100.0,0.019,5.7,85.9,75.8,1018.9,2025-04-22 10:00:00
