Time,Air temperature (degC),Cloud amount (1/8),Dew-point temperature (degC),Wind direction (deg),Wind speed (m/s),Relative humidity (%),Precipitation amount (mm)
2025-08-11 00:00:00,14.0,0.0,11.6,310.0,3.7,85.0,0.0
2025-08-11 00:10:00,13.9,0.0,11.3,305.0,3.8,85.0,
2025-08-11 00:20:00,13.9,0.0,11.1,307.0,3.5,83.0,
2025-08-11 00:30:00,13.8,0.0,11.0,313.0,3.2,83.0,
2025-08-11 00:40:00,13.7,0.0,11.1,314.0,3.2,84.0,
2025-08-11 00:50:00,13.7,0.0,11.1,317.0,3.0,85.0,
2025-08-11 01:00:00,13.4,0.0,11.2,310.0,3.8,86.0,0.0
2025-08-11 01:10:00,13.6,1.0,11.3,313.0,3.7,86.0,
2025-08-11 01:20:00,13.3,0.0,11.4,312.0,3.8,88.0,
2025-08-11 01:30:00,13.2,3.0,11.4,310.0,3.7,89.0,
2025-08-11 01:40:00,13.1,5.0,11.4,306.0,3.8,90.0,
2025-08-11 01:50:00,13.0,3.0,11.5,306.0,4.0,91.0,
2025-08-11 02:00:00,13.0,1.0,11.7,305.0,4.2,92.0,0.0
2025-08-11 02:10:00,13.1,0.0,11.7,309.0,3.8,91.0,
2025-08-11 02:20:00,13.3,0.0,11.7,311.0,3.8,91.0,
2025-08-11 02:30:00,13.4,0.0,11.8,312.0,3.8,90.0,
2025-08-11 02:40:00,13.4,0.0,11.8,320.0,3.5,90.0,
2025-08-11 02:50:00,13.2,0.0,11.8,321.0,3.5,91.0,
2025-08-11 03:00:00,13.2,0.0,11.8,324.0,3.2,91.0,0.0
2025-08-11 03:10:00,12.9,0.0,11.7,319.0,3.3,92.0,
2025-08-11 03:20:00,12.8,0.0,11.8,309.0,3.6,94.0,
2025-08-11 03:30:00,12.6,0.0,11.7,304.0,3.3,95.0,
2025-08-11 03:40:00,12.5,0.0,11.7,304.0,3.6,95.0,
2025-08-11 03:50:00,12.4,0.0,11.8,302.0,3.5,96.0,
2025-08-11 04:00:00,12.5,0.0,11.8,303.0,3.5,96.0,0.0
2025-08-11 04:10:00,12.5,0.0,11.9,311.0,3.5,96.0,
2025-08-11 04:20:00,12.5,0.0,11.7,311.0,3.4,95.0,
2025-08-11 04:30:00,12.3,0.0,11.7,307.0,3.2,96.0,
2025-08-11 04:40:00,12.1,0.0,11.6,305.0,3.4,97.0,
2025-08-11 04:50:00,12.0,0.0,11.6,308.0,3.7,97.0,
2025-08-11 05:00:00,12.0,0.0,11.6,303.0,3.5,97.0,0.0
2025-08-11 05:10:00,11.9,0.0,11.5,302.0,3.7,97.0,
2025-08-11 05:20:00,12.1,0.0,11.7,300.0,4.3,97.0,
2025-08-11 05:30:00,12.1,0.0,11.6,306.0,3.8,97.0,
2025-08-11 05:40:00,12.0,0.0,11.6,305.0,3.5,97.0,
2025-08-11 05:50:00,12.0,0.0,11.6,306.0,3.9,97.0,
2025-08-11 06:00:00,12.1,0.0,11.7,308.0,3.5,97.0,0.0
2025-08-11 06:10:00,12.3,0.0,11.8,305.0,3.8,97.0,
2025-08-11 06:20:00,12.6,0.0,11.9,303.0,4.0,96.0,
2025-08-11 06:30:00,12.8,0.0,12.0,303.0,4.2,95.0,
2025-08-11 06:40:00,13.0,0.0,12.1,312.0,3.7,95.0,
2025-08-11 06:50:00,13.4,0.0,12.3,312.0,3.2,93.0,
2025-08-11 07:00:00,13.7,0.0,12.3,312.0,3.4,92.0,0.0
2025-08-11 07:10:00,13.9,0.0,12.4,310.0,3.2,91.0,
2025-08-11 07:20:00,14.3,0.0,12.5,309.0,3.0,89.0,
2025-08-11 07:30:00,14.8,0.0,12.6,316.0,2.5,86.0,
2025-08-11 07:40:00,15.0,0.0,12.7,313.0,2.4,86.0,
2025-08-11 07:50:00,15.5,0.0,12.7,310.0,3.0,84.0,
2025-08-11 08:00:00,15.9,0.0,13.1,314.0,2.6,83.0,0.0
2025-08-11 08:10:00,15.9,0.0,13.1,308.0,3.5,83.0,
2025-08-11 08:20:00,16.2,0.0,13.1,316.0,2.7,82.0,
2025-08-11 08:30:00,16.5,0.0,13.3,322.0,2.8,81.0,
2025-08-11 08:40:00,17.1,0.0,13.4,316.0,2.4,79.0,
2025-08-11 08:50:00,17.2,0.0,13.5,311.0,3.0,79.0,
2025-08-11 09:00:00,17.6,0.0,13.3,325.0,3.3,76.0,0.0
2025-08-11 09:10:00,18.1,0.0,13.6,321.0,1.8,75.0,
2025-08-11 09:20:00,18.0,0.0,13.4,309.0,2.7,75.0,
2025-08-11 09:30:00,18.1,0.0,13.2,309.0,3.0,73.0,
2025-08-11 09:40:00,18.5,0.0,13.2,316.0,3.1,71.0,
2025-08-11 09:50:00,18.5,0.0,12.1,316.0,3.4,66.0,
2025-08-11 10:00:00,18.9,0.0,13.2,297.0,3.0,69.0,0.0
2025-08-11 10:10:00,19.1,0.0,13.0,312.0,2.7,68.0,
2025-08-11 10:20:00,19.5,0.0,13.0,320.0,2.8,66.0,
2025-08-11 10:30:00,19.5,0.0,12.7,327.0,3.5,65.0,
