Time,Diffuse radiation (W/m2),Direct solar radiation (W/m2),Global radiation (W/m2),Long wave outgoing solar radiation (W/m2),Long wave solar radiation  (W/m2),Radiation balance (W/m2),Reflected radiation (W/m2),Sunshine duration (s),Ultraviolet irradiance (index)
2025-06-03 00:00:00,3.3,-0.4,-2.1,,289.4,,,0.0,0.0
2025-06-03 00:01:00,4.2,-0.5,-2.2,,290.0,,,0.0,0.0
2025-06-03 00:02:00,3.5,-0.3,-1.9,,290.4,,,0.0,0.0
2025-06-03 00:03:00,4.2,-0.3,-2.0,,290.9,,,0.0,0.0
2025-06-03 00:04:00,3.7,-0.5,-2.1,,291.3,,,0.0,0.0
2025-06-03 00:05:00,3.6,-0.3,-1.9,,292.3,,,0.0,0.0
2025-06-03 00:06:00,3.9,-0.3,-2.0,,292.6,,,0.0,0.0
2025-06-03 00:07:00,4.1,-0.6,-2.5,,292.9,,,0.0,0.0
2025-06-03 00:08:00,3.8,-0.7,-2.5,,293.2,,,0.0,0.0
2025-06-03 00:09:00,3.2,-0.7,-2.4,,293.6,,,0.0,0.0
2025-06-03 00:10:00,3.3,-0.6,-2.2,,293.9,,,0.0,0.0
2025-06-03 00:11:00,4.0,-0.6,-2.3,,293.8,,,0.0,0.0
2025-06-03 00:12:00,3.1,-0.5,-2.1,,294.2,,,0.0,0.0
2025-06-03 00:13:00,4.8,-0.4,-2.1,,294.3,,,0.0,0.0
2025-06-03 00:14:00,3.9,-0.5,-1.8,,294.5,,,0.0,0.0
2025-06-03 00:15:00,4.4,-0.6,-2.1,,294.6,,,0.0,0.0
2025-06-03 00:16:00,3.8,-0.5,-2.3,,295.1,,,0.0,0.0
2025-06-03 00:17:00,3.2,-0.4,-2.4,,295.4,,,0.0,0.0
2025-06-03 00:18:00,3.7,-0.6,-2.3,,296.7,,,0.0,0.0
2025-06-03 00:19:00,4.6,-0.5,-2.2,,298.5,,,0.0,0.0
2025-06-03 00:20:00,3.9,-0.3,-1.9,,300.9,,,0.0,0.0
2025-06-03 00:21:00,3.7,-0.3,-2.0,,302.6,,,0.0,0.0
2025-06-03 00:22:00,4.4,-0.6,-2.5,,302.8,,,0.0,0.0
2025-06-03 00:23:00,4.8,-0.7,-2.5,,302.2,,,0.0,0.0
2025-06-03 00:24:00,3.4,-0.8,-2.8,,301.3,,,0.0,0.0
2025-06-03 00:25:00,4.3,-0.8,-2.6,,300.7,,,0.0,0.0
2025-06-03 00:26:00,3.7,-0.6,-2.5,,300.1,,,0.0,0.0
2025-06-03 00:27:00,4.1,-0.8,-2.7,,299.6,,,0.0,0.0
2025-06-03 00:28:00,4.1,-0.7,-2.6,,299.4,,,0.0,0.0
2025-06-03 00:29:00,3.6,-0.8,-2.6,,299.2,,,0.0,0.0
2025-06-03 00:30:00,4.4,-0.6,-2.6,,299.3,,,0.0,0.0
2025-06-03 00:31:00,3.5,-0.5,-2.6,,298.8,,,0.0,0.0
2025-06-03 00:32:00,3.3,-0.5,-2.6,,298.4,,,0.0,0.0
2025-06-03 00:33:00,4.6,-0.8,-2.9,,298.3,,,0.0,0.0
2025-06-03 00:34:00,4.5,-0.7,-3.0,,298.1,,,0.0,0.0
2025-06-03 00:35:00,3.5,-0.6,-2.9,,297.6,,,0.0,0.0
2025-06-03 00:36:00,4.2,-0.7,-2.8,,297.7,,,0.0,0.0
2025-06-03 00:37:00,3.6,-0.3,-2.1,,297.7,,,0.0,0.0
2025-06-03 00:38:00,3.6,-0.2,-2.0,,297.9,,,0.0,0.0
2025-06-03 00:39:00,3.8,-0.3,-2.2,,298.3,,,0.0,0.0
2025-06-03 00:40:00,3.7,0.0,-1.9,,298.8,,,0.0,0.0
2025-06-03 00:41:00,3.8,0.0,-1.8,,299.3,,,0.0,0.0
2025-06-03 00:42:00,4.0,-0.2,-1.7,,299.9,,,0.0,0.0
2025-06-03 00:43:00,3.8,-0.1,-1.9,,300.7,,,0.0,0.0
2025-06-03 00:44:00,3.5,-0.2,-1.6,,301.1,,,0.0,0.0
2025-06-03 00:45:00,3.2,-0.3,-1.7,,301.8,,,0.0,0.0
2025-06-03 00:46:00,4.3,-0.4,-1.8,,302.1,,,0.0,0.0
2025-06-03 00:47:00,3.6,-0.5,-1.8,,302.3,,,0.0,0.0
2025-06-03 00:48:00,3.8,-0.7,-1.7,,302.7,,,0.0,0.0
2025-06-03 00:49:00,4.5,-0.7,-1.7,,303.2,,,0.0,0.0
2025-06-03 00:50:00,4.2,-0.6,-1.4,,303.5,,,0.0,0.0
2025-06-03 00:51:00,4.0,-0.7,-1.4,,303.9,,,0.0,0.0
2025-06-03 00:52:00,4.2,-0.9,-1.9,,304.0,,,0.0,0.0
2025-06-03 00:53:00,3.8,-0.9,-1.6,,304.3,,,0.0,0.0
2025-06-03 00:54:00,3.9,-0.9,-1.5,,304.8,,,0.0,0.0
2025-06-03 00:55:00,4.8,-0.8,-1.4,,305.3,,,0.0,0.0
2025-06-03 00:56:00,4.3,-0.9,-1.5,,305.5,,,0.0,0.0
2025-06-03 00:57:00,4.0,-0.8,-1.4,,305.9,,,0.0,0.0
2025-06-03 00:58:00,3.9,-0.8,-1.4,,306.3,,,0.0,0.0
2025-06-03 00:59:00,4.8,-1.0,-1.6,,306.5,,,0.0,0.0
2025-06-03 01:00:00,4.4,-0.9,-1.5,,306.9,,,0.0,0.0
2025-06-03 01:01:00,5.0,-0.9,-1.4,,307.1,,,0.0,0.0
2025-06-03 01:02:00,3.6,-1.0,-1.3,,307.4,,,0.0,0.0
2025-06-03 01:03:00,4.2,-1.0,-1.4,,307.7,,,0.0,0.0
2025-06-03 01:04:00,4.7,-0.8,-1.3,,307.8,,,0.0,0.0
2025-06-03 01:05:00,4.8,-0.9,-1.3,,307.8,,,0.0,0.0
2025-06-03 01:06:00,3.8,-0.8,-1.3,,307.9,,,0.0,0.0
2025-06-03 01:07:00,4.0,-1.3,-2.0,,307.9,,,0.0,0.0
2025-06-03 01:08:00,4.4,-1.2,-2.1,,308.0,,,0.0,0.0
2025-06-03 01:09:00,4.2,-1.3,-2.3,,308.1,,,0.0,0.0
2025-06-03 01:10:00,4.2,-1.3,-2.3,,308.2,,,0.0,0.0
2025-06-03 01:11:00,4.0,-1.2,-2.1,,308.8,,,0.0,0.0
2025-06-03 01:12:00,4.2,-1.1,-2.1,,309.1,,,0.0,0.0
2025-06-03 01:13:00,4.5,-1.1,-2.1,,309.3,,,0.0,0.0
2025-06-03 01:14:00,4.6,-1.1,-2.1,,309.7,,,0.0,0.0
2025-06-03 01:15:00,4.0,-1.0,-1.9,,310.1,,,0.0,0.0
2025-06-03 01:16:00,4.2,-1.0,-2.1,,310.4,,,0.0,0.0
2025-06-03 01:17:00,3.0,-1.1,-2.1,,310.6,,,0.0,0.0
2025-06-03 01:18:00,4.4,-1.2,-2.0,,311.1,,,0.0,0.0
2025-06-03 01:19:00,4.2,-1.1,-2.2,,311.4,,,0.0,0.0
2025-06-03 01:20:00,3.9,-1.0,-2.2,,311.7,,,0.0,0.0
2025-06-03 01:21:00,3.7,-0.9,-2.1,,311.9,,,0.0,0.0
2025-06-03 01:22:00,4.7,-0.6,-1.4,,312.4,,,0.0,0.0
2025-06-03 01:23:00,4.2,-0.5,-1.5,,312.5,,,0.0,0.0
2025-06-03 01:24:00,3.9,-0.3,-1.2,,312.8,,,0.0,0.0
2025-06-03 01:25:00,3.6,-0.3,-1.2,,313.4,,,0.0,0.0
2025-06-03 01:26:00,4.2,-0.3,-1.3,,314.0,,,0.0,0.0
2025-06-03 01:27:00,3.9,-0.3,-1.4,,314.5,,,0.0,0.0
2025-06-03 01:28:00,3.9,-0.2,-1.3,,314.1,,,0.0,0.0
2025-06-03 01:29:00,3.2,-0.2,-1.3,,313.4,,,0.0,0.0
2025-06-03 01:30:00,4.5,-0.2,-1.4,,312.7,,,0.0,0.0
2025-06-03 01:31:00,4.0,-0.2,-1.3,,311.9,,,0.0,0.0
2025-06-03 01:32:00,4.6,-0.3,-1.5,,311.4,,,0.0,0.0
2025-06-03 01:33:00,3.5,-0.2,-1.3,,311.3,,,0.0,0.0
2025-06-03 01:34:00,3.6,-0.1,-1.4,,310.8,,,0.0,0.0
2025-06-03 01:35:00,3.5,-0.2,-1.4,,310.6,,,0.0,0.0
2025-06-03 01:36:00,3.2,-0.1,-1.3,,310.5,,,0.0,0.0
2025-06-03 01:37:00,3.8,0.0,-1.3,,310.4,,,0.0,0.0
2025-06-03 01:38:00,4.1,0.1,-1.0,,310.3,,,0.0,0.0
2025-06-03 01:39:00,4.4,0.1,-1.2,,310.3,,,0.0,0.0
2025-06-03 01:40:00,3.7,0.2,-1.1,,310.4,,,0.0,0.0
2025-06-03 01:41:00,3.6,0.3,-0.9,,310.6,,,0.0,0.0
2025-06-03 01:42:00,3.6,0.3,-1.0,,310.5,,,0.0,0.0
2025-06-03 01:43:00,4.2,0.3,-1.1,,310.4,,,0.0,0.0
2025-06-03 01:44:00,4.4,0.3,-0.9,,310.4,,,0.0,0.0
2025-06-03 01:45:00,3.9,0.3,-1.0,,310.4,,,0.0,0.0
2025-06-03 01:46:00,4.5,0.1,-1.2,,310.3,,,0.0,0.0
2025-06-03 01:47:00,3.9,0.3,-1.3,,310.5,,,0.0,0.0
2025-06-03 01:48:00,3.4,0.3,-1.4,,310.5,,,0.0,0.0
2025-06-03 01:49:00,4.2,0.2,-1.5,,310.4,,,0.0,0.0
2025-06-03 01:50:00,4.4,0.2,-1.3,,310.6,,,0.0,0.0
2025-06-03 01:51:00,3.9,0.2,-1.4,,310.4,,,0.0,0.0
2025-06-03 01:52:00,3.7,0.1,-1.5,,310.5,,,0.0,0.0
2025-06-03 01:53:00,3.8,0.0,-1.7,,310.2,,,0.0,0.0
2025-06-03 01:54:00,3.7,0.2,-1.3,,310.2,,,0.0,0.0
2025-06-03 01:55:00,4.1,0.2,-1.3,,310.2,,,0.0,0.0
2025-06-03 01:56:00,4.2,0.1,-1.2,,310.1,,,0.0,0.0
2025-06-03 01:57:00,3.6,0.0,-1.3,,309.9,,,0.0,0.0
2025-06-03 01:58:00,3.8,0.0,-0.9,,309.9,,,0.0,0.0
2025-06-03 01:59:00,3.4,0.0,-1.1,,309.6,,,0.0,0.0
2025-06-03 02:00:00,3.8,-0.1,-0.9,,309.5,,,0.0,0.0
2025-06-03 02:01:00,4.4,-0.2,-1.1,,309.1,,,0.0,0.0
2025-06-03 02:02:00,4.7,-0.3,-1.2,,308.8,,,0.0,0.0
2025-06-03 02:03:00,4.5,-0.3,-1.2,,308.4,,,0.0,0.0
2025-06-03 02:04:00,4.0,-0.3,-1.0,,308.1,,,0.0,0.0
2025-06-03 02:05:00,3.5,-0.3,-1.1,,307.9,,,0.0,0.0
2025-06-03 02:06:00,4.5,-0.3,-0.9,,307.7,,,0.0,0.0
2025-06-03 02:07:00,4.4,-0.6,-1.5,,307.1,,,0.0,0.0
2025-06-03 02:08:00,4.2,-0.5,-1.5,,306.7,,,0.0,0.0
2025-06-03 02:09:00,4.7,-0.7,-1.7,,306.1,,,0.0,0.0
2025-06-03 02:10:00,3.7,-0.8,-1.6,,305.5,,,0.0,0.0
2025-06-03 02:11:00,3.2,-0.7,-1.8,,305.0,,,0.0,0.0
2025-06-03 02:12:00,4.0,-0.7,-1.5,,304.4,,,0.0,0.0
2025-06-03 02:13:00,3.8,-0.8,-1.8,,303.5,,,0.0,0.0
2025-06-03 02:14:00,4.4,-0.9,-1.7,,302.8,,,0.0,0.0
2025-06-03 02:15:00,4.1,-0.9,-1.8,,302.0,,,0.0,0.0
2025-06-03 02:16:00,4.1,-1.0,-1.9,,301.2,,,0.0,0.0
2025-06-03 02:17:00,4.5,-1.0,-2.0,,300.6,,,0.0,0.0
2025-06-03 02:18:00,4.4,-0.9,-1.9,,300.1,,,0.0,0.0
2025-06-03 02:19:00,4.4,-0.9,-1.8,,299.3,,,0.0,0.0
2025-06-03 02:20:00,4.8,-0.9,-1.8,,298.8,,,0.0,0.0
2025-06-03 02:21:00,4.0,-0.9,-1.8,,298.3,,,0.0,0.0
2025-06-03 02:22:00,4.6,-0.8,-1.9,,297.8,,,0.0,0.0
2025-06-03 02:23:00,4.4,-0.9,-2.0,,297.5,,,0.0,0.0
2025-06-03 02:24:00,3.9,-0.7,-1.9,,297.4,,,0.0,0.0
2025-06-03 02:25:00,4.0,-0.8,-1.9,,297.2,,,0.0,0.0
2025-06-03 02:26:00,3.7,-0.6,-1.8,,297.3,,,0.0,0.0
