Time,Air temperature (degC),Cloud amount (1/8),Dew-point temperature (degC),Wind direction (deg),Wind speed (m/s),Relative humidity (%),Precipitation amount (mm)
2025-04-22 00:00:00,6.8,8.0,5.3,19.0,1.8,91.0,0.0
2025-04-22 00:10:00,6.6,8.0,5.3,22.0,2.0,91.0,
2025-04-22 00:20:00,6.7,8.0,5.3,22.0,2.2,91.0,
2025-04-22 00:30:00,6.5,8.0,5.2,23.0,2.0,91.0,
2025-04-22 00:40:00,6.5,8.0,5.2,18.0,1.8,92.0,
2025-04-22 00:50:00,6.4,7.0,5.2,22.0,1.6,93.0,
2025-04-22 01:00:00,6.3,7.0,5.0,19.0,2.3,91.0,0.0
2025-04-22 01:10:00,6.0,3.0,4.7,22.0,2.9,92.0,
2025-04-22 01:20:00,6.1,1.0,4.8,22.0,3.0,92.0,
2025-04-22 01:30:00,5.7,1.0,4.5,22.0,3.0,92.0,
2025-04-22 01:40:00,5.6,0.0,4.5,22.0,2.8,92.0,
2025-04-22 01:50:00,5.2,0.0,4.3,27.0,2.5,94.0,
2025-04-22 02:00:00,4.9,0.0,4.1,27.0,2.6,94.0,0.0
2025-04-22 02:10:00,4.7,0.0,4.0,28.0,1.4,96.0,
2025-04-22 02:20:00,4.6,0.0,4.0,23.0,2.0,96.0,
2025-04-22 02:30:00,4.5,0.0,3.9,22.0,1.9,96.0,
2025-04-22 02:40:00,4.4,0.0,3.8,30.0,1.7,96.0,
2025-04-22 02:50:00,3.9,0.0,3.5,28.0,1.4,97.0,
2025-04-22 03:00:00,3.8,0.0,3.5,27.0,2.2,98.0,0.0
2025-04-22 03:10:00,3.9,0.0,3.5,29.0,2.3,97.0,
2025-04-22 03:20:00,3.7,0.0,3.4,28.0,2.5,98.0,
2025-04-22 03:30:00,3.8,0.0,3.4,29.0,2.5,97.0,
2025-04-22 03:40:00,3.3,0.0,2.9,27.0,1.1,97.0,
2025-04-22 03:50:00,3.5,0.0,3.2,28.0,1.3,98.0,
2025-04-22 04:00:00,3.5,0.0,3.2,39.0,1.9,98.0,0.0
2025-04-22 04:10:00,3.6,0.0,3.2,37.0,2.2,97.0,
2025-04-22 04:20:00,3.2,0.0,2.9,34.0,2.2,98.0,
2025-04-22 04:30:00,3.0,0.0,2.7,32.0,1.6,98.0,
2025-04-22 04:40:00,2.9,0.0,2.6,33.0,1.6,99.0,
2025-04-22 04:50:00,2.9,0.0,2.7,32.0,1.6,99.0,
2025-04-22 05:00:00,3.1,0.0,2.9,35.0,2.4,99.0,0.0
2025-04-22 05:10:00,3.7,0.0,3.4,34.0,3.7,98.0,
2025-04-22 05:20:00,3.5,0.0,2.9,38.0,3.5,96.0,
2025-04-22 05:30:00,3.1,0.0,2.6,44.0,2.8,97.0,
2025-04-22 05:40:00,3.1,0.0,2.6,51.0,2.7,96.0,
2025-04-22 05:50:00,3.6,0.0,2.9,46.0,3.0,95.0,
2025-04-22 06:00:00,3.6,0.0,2.7,42.0,2.9,94.0,0.0
2025-04-22 06:10:00,3.5,0.0,2.7,45.0,3.1,94.0,
2025-04-22 06:20:00,3.6,0.0,2.7,47.0,2.9,93.0,
2025-04-22 06:30:00,4.0,0.0,2.9,51.0,2.9,93.0,
2025-04-22 06:40:00,4.1,0.0,3.0,50.0,2.9,92.0,
2025-04-22 06:50:00,4.5,0.0,3.1,50.0,3.0,91.0,
2025-04-22 07:00:00,5.0,0.0,3.2,56.0,2.9,88.0,0.0
2025-04-22 07:10:00,5.3,0.0,3.2,60.0,2.6,86.0,
2025-04-22 07:20:00,5.4,0.0,3.2,65.0,3.1,86.0,
2025-04-22 07:30:00,5.6,0.0,3.3,66.0,4.1,85.0,
2025-04-22 07:40:00,5.9,0.0,3.6,72.0,3.8,85.0,
2025-04-22 07:50:00,5.9,0.0,3.5,80.0,4.0,84.0,
2025-04-22 08:00:00,6.0,0.0,3.4,77.0,5.0,83.0,0.0
2025-04-22 08:10:00,6.4,0.0,3.7,85.0,4.7,83.0,
2025-04-22 08:20:00,6.7,0.0,3.7,89.0,5.3,81.0,
2025-04-22 08:30:00,7.2,1.0,4.1,91.0,4.6,81.0,
2025-04-22 08:40:00,7.1,5.0,3.8,96.0,5.0,80.0,
2025-04-22 08:50:00,7.3,7.0,3.9,98.0,5.5,79.0,
2025-04-22 09:00:00,7.2,8.0,3.9,96.0,6.7,80.0,0.0
2025-04-22 09:10:00,6.9,7.0,3.5,102.0,6.1,79.0,
2025-04-22 09:20:00,6.9,7.0,3.5,99.0,5.4,79.0,
2025-04-22 09:30:00,6.6,8.0,3.4,107.0,6.7,80.0,
2025-04-22 09:40:00,6.3,8.0,3.5,105.0,7.5,82.0,
2025-04-22 09:50:00,6.2,7.0,3.6,108.0,7.7,83.0,
2025-04-22 10:00:00,6.0,7.0,3.4,108.0,7.8,84.0,0.0
2025-04-22 10:10:00,6.1,7.0,3.5,100.0,5.8,84.0,
2025-04-22 10:20:00,5.9,7.0,3.2,97.0,7.3,83.0,
2025-04-22 10:30:00,6.0,8.0,3.4,91.0,6.8,84.0,
2025-04-22 10:40:00,6.0,8.0,3.4,88.0,6.0,83.0,
2025-04-22 10:50:00,5.9,7.0,3.2,89.0,6.0,83.0,
2025-04-22 11:00:00,6.1,7.0,3.3,91.0,6.1,82.0,0.0
