Time,Air temperature (degC),Cloud amount (1/8),Dew-point temperature (degC),Wind direction (deg),Wind speed (m/s),Relative humidity (%),Precipitation amount (mm)
2025-04-24 00:00:00,7.0,8.0,6.0,300.0,2.1,94.0,0.0
2025-04-24 00:10:00,6.9,8.0,6.1,301.0,2.5,95.0,
2025-04-24 00:20:00,6.8,8.0,6.0,306.0,2.4,95.0,
2025-04-24 00:30:00,6.9,8.0,6.1,315.0,2.4,95.0,
2025-04-24 00:40:00,7.1,8.0,6.1,334.0,2.4,94.0,
2025-04-24 00:50:00,7.2,8.0,5.8,342.0,3.7,91.0,
2025-04-24 01:00:00,7.3,8.0,5.5,355.0,4.2,89.0,0.0
2025-04-24 01:10:00,7.0,8.0,5.0,358.0,4.5,87.0,
2025-04-24 01:20:00,6.6,8.0,4.7,357.0,5.1,87.0,
2025-04-24 01:30:00,6.2,8.0,4.2,354.0,6.1,87.0,
2025-04-24 01:40:00,6.0,8.0,4.0,354.0,4.3,87.0,
2025-04-24 01:50:00,5.7,8.0,3.7,358.0,4.9,87.0,
2025-04-24 02:00:00,5.4,8.0,3.2,21.0,5.1,86.0,0.0
2025-04-24 02:10:00,5.1,8.0,1.9,13.0,7.0,80.0,
2025-04-24 02:20:00,4.9,8.0,2.0,19.0,5.8,81.0,
2025-04-24 02:30:00,4.8,7.0,2.0,12.0,3.9,82.0,
2025-04-24 02:40:00,4.7,7.0,2.5,7.0,3.2,86.0,
2025-04-24 02:50:00,4.4,8.0,2.1,5.0,3.9,85.0,
2025-04-24 03:00:00,4.3,8.0,1.6,9.0,4.2,83.0,0.0
2025-04-24 03:10:00,4.1,8.0,0.5,14.0,6.6,77.0,
2025-04-24 03:20:00,4.0,8.0,0.5,18.0,4.1,78.0,
2025-04-24 03:30:00,3.9,8.0,0.2,20.0,4.5,77.0,
2025-04-24 03:40:00,3.8,8.0,0.1,15.0,5.4,77.0,
2025-04-24 03:50:00,3.7,8.0,0.1,11.0,5.5,77.0,
2025-04-24 04:00:00,3.7,8.0,-0.1,13.0,5.8,77.0,0.0
2025-04-24 04:10:00,3.6,8.0,-0.2,15.0,5.7,76.0,
2025-04-24 04:20:00,3.6,8.0,-0.4,17.0,5.3,75.0,
2025-04-24 04:30:00,3.6,8.0,-0.5,15.0,4.7,75.0,
2025-04-24 04:40:00,3.6,8.0,-0.6,10.0,4.3,74.0,
2025-04-24 04:50:00,3.5,8.0,-0.7,17.0,4.8,74.0,
2025-04-24 05:00:00,3.4,8.0,-1.0,16.0,5.9,73.0,0.0
2025-04-24 05:10:00,3.4,8.0,-0.9,15.0,4.6,73.0,
2025-04-24 05:20:00,3.4,8.0,-0.7,9.0,4.5,75.0,
2025-04-24 05:30:00,3.3,8.0,-0.7,11.0,4.5,75.0,
2025-04-24 05:40:00,3.2,8.0,-1.1,8.0,4.7,73.0,
2025-04-24 05:50:00,3.1,8.0,-1.2,6.0,3.8,73.0,
2025-04-24 06:00:00,3.1,8.0,-1.3,3.0,4.0,73.0,0.0
2025-04-24 06:10:00,3.0,8.0,-1.4,9.0,3.7,73.0,
2025-04-24 06:20:00,2.9,7.0,-1.9,14.0,5.6,71.0,
2025-04-24 06:30:00,2.8,7.0,-2.1,15.0,5.7,70.0,
2025-04-24 06:40:00,2.7,7.0,-2.4,14.0,5.4,69.0,
2025-04-24 06:50:00,2.6,8.0,-2.7,14.0,5.1,68.0,
2025-04-24 07:00:00,2.6,7.0,-2.7,19.0,5.7,68.0,0.0
2025-04-24 07:10:00,2.6,8.0,-2.8,18.0,4.7,68.0,
