Time,Air temperature (degC),Cloud amount (1/8),Dew-point temperature (degC),Wind direction (deg),Wind speed (m/s),Relative humidity (%),Precipitation amount (mm)
2025-05-05 00:00:00,2.1,0.0,-6.8,333.0,4.0,52.0,0.0
2025-05-05 00:10:00,2.2,0.0,-7.4,337.0,4.6,49.0,
2025-05-05 00:20:00,2.1,0.0,-7.6,337.0,4.2,49.0,
2025-05-05 00:30:00,2.0,0.0,-7.8,335.0,4.3,48.0,
2025-05-05 00:40:00,1.6,0.0,-7.7,328.0,3.6,50.0,
2025-05-05 00:50:00,1.3,0.0,-7.5,327.0,3.9,52.0,
2025-05-05 01:00:00,1.4,0.0,-7.7,331.0,3.5,51.0,0.0
2025-05-05 01:10:00,1.1,0.0,-7.9,330.0,3.8,51.0,
2025-05-05 01:20:00,0.8,0.0,-7.8,325.0,3.3,52.0,
2025-05-05 01:30:00,0.8,0.0,-7.8,325.0,3.2,53.0,
2025-05-05 01:40:00,0.2,0.0,-7.6,323.0,2.9,56.0,
2025-05-05 01:50:00,0.2,0.0,-7.5,318.0,3.9,56.0,
2025-05-05 02:00:00,0.4,0.0,-7.7,324.0,4.1,55.0,0.0
2025-05-05 02:10:00,0.1,0.0,-7.6,321.0,3.5,56.0,
2025-05-05 02:20:00,0.0,0.0,-7.7,320.0,3.9,57.0,
2025-05-05 02:30:00,-0.1,0.0,-7.7,320.0,4.4,57.0,
2025-05-05 02:40:00,-0.4,0.0,-7.5,314.0,4.2,58.0,
2025-05-05 02:50:00,-0.4,0.0,-7.4,315.0,4.5,59.0,
2025-05-05 03:00:00,-0.5,0.0,-7.5,315.0,4.0,59.0,0.0
2025-05-05 03:10:00,-0.5,0.0,-7.5,312.0,4.3,59.0,
2025-05-05 03:20:00,-0.7,0.0,-7.5,313.0,4.2,60.0,
2025-05-05 03:30:00,-0.9,0.0,-7.5,312.0,3.8,61.0,
2025-05-05 03:40:00,-0.9,0.0,-7.5,314.0,3.7,61.0,
2025-05-05 03:50:00,-1.0,0.0,-7.4,311.0,3.9,62.0,
2025-05-05 04:00:00,-1.0,0.0,-7.4,309.0,3.7,62.0,0.0
2025-05-05 04:10:00,-1.1,0.0,-7.3,311.0,4.1,63.0,
2025-05-05 04:20:00,-1.0,0.0,-7.2,312.0,4.2,63.0,
2025-05-05 04:30:00,-1.0,0.0,-7.5,309.0,4.3,61.0,
2025-05-05 04:40:00,-1.2,0.0,-7.4,309.0,3.7,63.0,
2025-05-05 04:50:00,-1.1,1.0,-7.4,308.0,3.8,63.0,
2025-05-05 05:00:00,-1.0,3.0,-7.1,303.0,4.1,63.0,0.0
2025-05-05 05:10:00,-0.9,5.0,-7.1,305.0,4.0,63.0,
2025-05-05 05:20:00,-0.8,7.0,-7.1,302.0,3.5,62.0,
2025-05-05 05:30:00,-0.8,7.0,-6.8,301.0,3.6,64.0,
2025-05-05 05:40:00,-0.6,5.0,-7.0,300.0,4.3,62.0,
2025-05-05 05:50:00,-0.3,5.0,-7.0,301.0,3.7,60.0,
2025-05-05 06:00:00,0.0,5.0,-6.8,304.0,3.6,60.0,0.0
2025-05-05 06:10:00,0.4,5.0,-6.5,303.0,3.9,60.0,
2025-05-05 06:20:00,0.8,7.0,-6.6,303.0,4.2,57.0,
2025-05-05 06:30:00,1.0,7.0,-6.6,299.0,3.8,57.0,
2025-05-05 06:40:00,0.6,3.0,-7.0,296.0,4.1,57.0,
2025-05-05 06:50:00,0.6,3.0,-6.6,299.0,4.2,59.0,
2025-05-05 07:00:00,1.1,3.0,-6.8,300.0,4.7,56.0,0.0
