Time,Air temperature (degC),Cloud amount (1/8),Dew-point temperature (degC),Wind direction (deg),Wind speed (m/s),Relative humidity (%),Precipitation amount (mm)
2025-04-20 00:00:00,11.2,8.0,9.8,45.0,3.8,91.0,0.0
2025-04-20 00:10:00,11.2,8.0,9.8,43.0,3.6,91.0,
2025-04-20 00:20:00,11.1,8.0,9.7,42.0,4.4,91.0,
2025-04-20 00:30:00,11.0,8.0,9.7,42.0,4.5,91.0,
2025-04-20 00:40:00,11.0,8.0,9.6,44.0,4.4,91.0,
2025-04-20 00:50:00,10.9,8.0,9.6,44.0,4.1,91.0,
2025-04-20 01:00:00,10.9,8.0,9.6,50.0,4.1,92.0,0.0
2025-04-20 01:10:00,10.9,8.0,9.5,54.0,3.0,91.0,
2025-04-20 01:20:00,10.8,8.0,9.5,54.0,4.4,91.0,
2025-04-20 01:30:00,10.8,8.0,9.3,50.0,4.9,91.0,
2025-04-20 01:40:00,10.8,8.0,9.3,46.0,3.9,91.0,
2025-04-20 01:50:00,10.7,8.0,9.3,53.0,3.4,91.0,
2025-04-20 02:00:00,10.7,8.0,9.2,55.0,3.1,91.0,0.0
2025-04-20 02:10:00,10.6,8.0,9.2,56.0,2.8,91.0,
2025-04-20 02:20:00,10.6,8.0,9.2,74.0,3.2,91.0,
2025-04-20 02:30:00,10.4,8.0,9.3,79.0,3.7,93.0,
2025-04-20 02:40:00,10.2,8.0,9.3,77.0,3.9,94.0,
2025-04-20 02:50:00,10.0,8.0,9.4,74.0,3.8,96.0,
2025-04-20 03:00:00,9.9,8.0,9.4,67.0,3.2,97.0,0.0
2025-04-20 03:10:00,9.9,8.0,9.5,74.0,3.5,97.0,
2025-04-20 03:20:00,9.8,8.0,9.5,70.0,3.5,98.0,
2025-04-20 03:30:00,9.8,8.0,9.5,68.0,3.3,98.0,
2025-04-20 03:40:00,9.8,8.0,9.5,61.0,4.1,98.0,
2025-04-20 03:50:00,9.7,8.0,9.4,64.0,3.7,98.0,
2025-04-20 04:00:00,9.7,8.0,9.4,66.0,4.2,98.0,0.1
2025-04-20 04:10:00,9.7,8.0,9.4,55.0,4.3,98.0,
2025-04-20 04:20:00,9.7,8.0,9.4,57.0,4.6,98.0,
2025-04-20 04:30:00,9.7,8.0,9.2,60.0,4.5,97.0,
2025-04-20 04:40:00,9.6,8.0,9.1,60.0,4.7,97.0,
2025-04-20 04:50:00,9.6,8.0,9.0,59.0,4.3,96.0,
2025-04-20 05:00:00,9.6,8.0,9.0,53.0,4.1,96.0,0.1
2025-04-20 05:10:00,9.5,8.0,8.9,51.0,3.9,96.0,
2025-04-20 05:20:00,9.5,8.0,8.9,56.0,3.1,96.0,
2025-04-20 05:30:00,9.4,8.0,8.8,52.0,3.8,96.0,
2025-04-20 05:40:00,9.4,7.0,8.8,48.0,4.2,96.0,
2025-04-20 05:50:00,9.3,8.0,8.7,51.0,3.9,96.0,
2025-04-20 06:00:00,9.3,8.0,8.7,49.0,4.5,96.0,0.6
2025-04-20 06:10:00,9.2,8.0,8.6,47.0,4.6,96.0,
2025-04-20 06:20:00,9.1,8.0,8.5,50.0,4.5,96.0,
2025-04-20 06:30:00,9.0,7.0,8.4,57.0,3.4,96.0,
2025-04-20 06:40:00,8.9,7.0,8.3,62.0,4.4,96.0,
2025-04-20 06:50:00,8.9,7.0,8.4,89.0,3.5,97.0,
2025-04-20 07:00:00,8.8,7.0,8.5,87.0,3.2,98.0,3.2
2025-04-20 07:10:00,8.8,7.0,8.3,73.0,3.5,97.0,
2025-04-20 07:20:00,8.8,8.0,8.3,66.0,3.1,97.0,
2025-04-20 07:30:00,8.8,7.0,8.3,64.0,3.9,97.0,
2025-04-20 07:40:00,8.7,8.0,8.3,62.0,3.0,97.0,
2025-04-20 07:50:00,8.7,8.0,8.2,69.0,3.2,97.0,
2025-04-20 08:00:00,8.7,8.0,8.2,67.0,2.7,97.0,3.2
2025-04-20 08:10:00,8.6,8.0,8.3,63.0,2.7,97.0,
2025-04-20 08:20:00,8.2,8.0,7.8,96.0,2.3,97.0,
2025-04-20 08:30:00,7.8,7.0,7.5,112.0,1.8,98.0,
2025-04-20 08:40:00,7.7,7.0,7.4,110.0,2.1,98.0,
2025-04-20 08:50:00,7.6,8.0,7.4,93.0,1.9,98.0,
2025-04-20 09:00:00,7.6,7.0,7.3,81.0,2.0,98.0,3.1
2025-04-20 09:10:00,7.7,8.0,7.5,50.0,1.8,99.0,
2025-04-20 09:20:00,7.9,8.0,7.7,40.0,1.5,99.0,
2025-04-20 09:30:00,8.1,7.0,8.0,55.0,2.1,99.0,
2025-04-20 09:40:00,8.1,7.0,7.9,110.0,1.9,99.0,
2025-04-20 09:50:00,7.8,7.0,7.5,132.0,3.2,98.0,
2025-04-20 10:00:00,7.6,7.0,7.3,115.0,3.2,99.0,3.6
2025-04-20 10:10:00,7.7,7.0,7.5,105.0,3.7,99.0,
2025-04-20 10:20:00,7.8,7.0,7.6,103.0,3.4,98.0,
2025-04-20 10:30:00,7.7,8.0,7.4,103.0,3.9,98.0,
2025-04-20 10:40:00,7.4,8.0,7.1,107.0,4.6,98.0,
2025-04-20 10:50:00,7.3,8.0,7.0,104.0,4.5,98.0,
2025-04-20 11:00:00,7.4,7.0,7.1,94.0,3.6,98.0,2.4
2025-04-20 11:10:00,7.5,7.0,7.1,93.0,4.2,97.0,
2025-04-20 11:20:00,7.4,7.0,6.8,96.0,3.8,96.0,
2025-04-20 11:30:00,7.2,8.0,6.6,100.0,5.3,96.0,
2025-04-20 11:40:00,7.0,8.0,6.5,102.0,4.7,97.0,
2025-04-20 11:50:00,7.0,8.0,6.5,104.0,4.7,97.0,
2025-04-20 12:00:00,7.1,7.0,6.7,97.0,3.8,97.0,2.2
2025-04-20 12:10:00,7.3,8.0,6.9,103.0,4.5,97.0,
2025-04-20 12:20:00,7.4,8.0,6.9,105.0,3.8,97.0,
2025-04-20 12:30:00,7.3,8.0,6.8,102.0,4.3,97.0,
2025-04-20 12:40:00,7.3,8.0,6.7,105.0,5.0,96.0,
2025-04-20 12:50:00,7.1,8.0,6.6,101.0,4.3,97.0,
2025-04-20 13:00:00,7.1,8.0,6.5,100.0,3.9,96.0,1.0
2025-04-20 13:10:00,7.2,8.0,6.7,97.0,3.4,96.0,
2025-04-20 13:20:00,7.4,8.0,6.7,93.0,3.4,96.0,
