Time,Air temperature (degC),Cloud amount (1/8),Dew-point temperature (degC),Wind direction (deg),Wind speed (m/s),Relative humidity (%),Precipitation amount (mm)
2025-08-05 00:00:00,19.1,5.0,17.2,143.0,4.2,89.0,0.0
2025-08-05 00:10:00,19.1,3.0,16.6,165.0,4.1,86.0,
2025-08-05 00:20:00,19.2,1.0,16.5,158.0,4.1,84.0,
2025-08-05 00:30:00,19.6,1.0,16.0,161.0,5.0,80.0,
2025-08-05 00:40:00,19.6,0.0,15.9,162.0,4.4,79.0,
2025-08-05 00:50:00,19.4,0.0,16.1,166.0,4.0,82.0,
2025-08-05 01:00:00,19.3,0.0,16.4,165.0,4.3,83.0,0.0
2025-08-05 01:10:00,19.2,0.0,16.6,166.0,3.9,85.0,
2025-08-05 01:20:00,19.1,0.0,16.7,163.0,4.0,86.0,
2025-08-05 01:30:00,19.0,0.0,16.9,177.0,3.5,87.0,
2025-08-05 01:40:00,18.8,0.0,16.8,202.0,2.4,88.0,
2025-08-05 01:50:00,18.6,1.0,16.8,191.0,2.6,89.0,
2025-08-05 02:00:00,19.0,3.0,17.2,176.0,2.9,89.0,0.0
2025-08-05 02:10:00,19.0,5.0,17.3,189.0,4.2,90.0,
2025-08-05 02:20:00,18.8,3.0,17.4,199.0,4.0,91.0,
2025-08-05 02:30:00,18.7,3.0,17.5,205.0,3.7,92.0,
2025-08-05 02:40:00,18.7,5.0,17.6,195.0,3.0,93.0,
2025-08-05 02:50:00,18.8,5.0,17.7,199.0,3.9,93.0,
2025-08-05 03:00:00,18.6,5.0,17.7,210.0,3.6,94.0,0.0
2025-08-05 03:10:00,18.7,3.0,17.6,207.0,4.6,94.0,
2025-08-05 03:20:00,18.7,3.0,17.7,199.0,3.5,94.0,
2025-08-05 03:30:00,18.7,5.0,17.8,195.0,3.0,95.0,
2025-08-05 03:40:00,18.8,5.0,17.9,190.0,3.3,95.0,
2025-08-05 03:50:00,18.8,7.0,18.0,181.0,2.8,95.0,
2025-08-05 04:00:00,19.2,7.0,18.3,176.0,3.3,95.0,0.0
2025-08-05 04:10:00,19.4,7.0,18.5,178.0,3.2,95.0,
2025-08-05 04:20:00,19.4,7.0,18.5,181.0,3.3,95.0,
2025-08-05 04:30:00,19.3,7.0,18.5,182.0,3.1,95.0,
2025-08-05 04:40:00,18.9,3.0,18.2,223.0,2.5,95.0,
2025-08-05 04:50:00,18.7,1.0,17.8,214.0,2.8,95.0,
2025-08-05 05:00:00,18.7,1.0,17.7,219.0,3.8,94.0,0.0
2025-08-05 05:10:00,18.9,3.0,17.5,207.0,3.5,91.0,
2025-08-05 05:20:00,18.8,3.0,17.1,212.0,4.2,90.0,
2025-08-05 05:30:00,18.8,5.0,16.9,210.0,3.5,89.0,
2025-08-05 05:40:00,18.8,7.0,16.6,207.0,3.2,87.0,
2025-08-05 05:50:00,18.8,7.0,16.6,214.0,3.5,87.0,
2025-08-05 06:00:00,18.9,7.0,16.6,218.0,2.9,87.0,0.0
2025-08-05 06:10:00,19.0,8.0,16.7,223.0,2.9,87.0,
2025-08-05 06:20:00,18.8,8.0,16.8,226.0,2.4,88.0,
2025-08-05 06:30:00,18.8,8.0,16.9,234.0,2.4,89.0,
2025-08-05 06:40:00,18.9,7.0,16.5,221.0,3.2,86.0,
2025-08-05 06:50:00,18.9,8.0,16.4,230.0,3.0,86.0,
2025-08-05 07:00:00,19.0,7.0,16.2,220.0,3.8,84.0,0.0
2025-08-05 07:10:00,19.0,7.0,16.3,216.0,3.3,84.0,
2025-08-05 07:20:00,19.0,7.0,16.2,226.0,3.6,83.0,
2025-08-05 07:30:00,18.9,8.0,16.6,253.0,2.5,86.0,
2025-08-05 07:40:00,18.9,8.0,16.7,214.0,3.2,87.0,
2025-08-05 07:50:00,19.1,7.0,17.0,190.0,5.0,88.0,
2025-08-05 08:00:00,19.2,7.0,16.9,187.0,4.6,87.0,0.0
2025-08-05 08:10:00,19.3,7.0,17.1,192.0,4.0,87.0,
2025-08-05 08:20:00,19.3,7.0,16.9,197.0,5.1,86.0,
2025-08-05 08:30:00,19.4,7.0,17.0,199.0,4.6,86.0,
2025-08-05 08:40:00,19.2,7.0,17.0,195.0,4.8,87.0,
2025-08-05 08:50:00,20.1,5.0,16.9,188.0,5.8,82.0,
2025-08-05 09:00:00,20.6,5.0,16.7,192.0,5.1,78.0,0.0
2025-08-05 09:10:00,20.6,5.0,16.4,202.0,5.7,76.0,
2025-08-05 09:20:00,20.3,3.0,16.6,196.0,5.2,79.0,
2025-08-05 09:30:00,20.9,1.0,16.4,185.0,5.4,76.0,
2025-08-05 09:40:00,21.0,1.0,16.0,182.0,5.8,73.0,
2025-08-05 09:50:00,21.1,1.0,16.5,196.0,6.3,75.0,
2025-08-05 10:00:00,21.3,3.0,16.9,193.0,5.3,76.0,0.0
2025-08-05 10:10:00,20.5,5.0,15.8,195.0,6.7,74.0,
2025-08-05 10:20:00,20.7,5.0,16.4,196.0,5.1,76.0,
2025-08-05 10:30:00,20.0,5.0,16.1,196.0,5.3,79.0,
2025-08-05 10:40:00,20.0,3.0,16.4,194.0,6.2,80.0,
