Time,Diffuse radiation (W/m2),Direct solar radiation (W/m2),Global radiation (W/m2),Long wave outgoing solar radiation (W/m2),Long wave solar radiation  (W/m2),Radiation balance (W/m2),Reflected radiation (W/m2),Sunshine duration (s),Ultraviolet irradiance (index)
2025-09-10 00:00:00,0.0,-0.8,-2.8,,330.6,,,0.0,0.0
2025-09-10 00:01:00,0.0,-0.9,-2.8,,331.0,,,0.0,0.0
2025-09-10 00:02:00,0.0,-0.9,-2.8,,331.7,,,0.0,0.0
2025-09-10 00:03:00,0.0,-0.7,-2.8,,332.3,,,0.0,0.0
2025-09-10 00:04:00,0.0,-0.7,-2.7,,333.0,,,0.0,0.0
2025-09-10 00:05:00,0.0,-0.6,-2.6,,333.8,,,0.0,0.0
2025-09-10 00:06:00,0.0,-0.6,-2.6,,333.8,,,0.0,0.0
2025-09-10 00:07:00,0.0,-0.5,-2.5,,333.3,,,0.0,0.0
2025-09-10 00:08:00,0.0,-0.4,-2.1,,332.7,,,0.0,0.0
2025-09-10 00:09:00,0.0,-0.3,-2.1,,332.2,,,0.0,0.0
2025-09-10 00:10:00,0.0,-0.4,-2.5,,331.6,,,0.0,0.0
2025-09-10 00:11:00,0.0,-0.4,-2.3,,331.4,,,0.0,0.0
2025-09-10 00:12:00,0.0,-0.3,-2.3,,331.4,,,0.0,0.0
2025-09-10 00:13:00,0.0,-0.3,-2.2,,331.1,,,0.0,0.0
2025-09-10 00:14:00,0.0,-0.3,-2.2,,331.0,,,0.0,0.0
2025-09-10 00:15:00,0.0,-0.4,-2.3,,330.9,,,0.0,0.0
2025-09-10 00:16:00,0.0,-0.5,-2.4,,331.2,,,0.0,0.0
2025-09-10 00:17:00,0.0,-0.5,-2.4,,332.1,,,0.0,0.0
2025-09-10 00:18:00,0.0,-0.6,-2.6,,333.7,,,0.0,0.0
2025-09-10 00:19:00,0.0,-0.6,-2.5,,335.8,,,0.0,0.0
2025-09-10 00:20:00,0.0,-0.7,-2.5,,338.0,,,0.0,0.0
2025-09-10 00:21:00,0.0,-0.6,-2.4,,339.9,,,0.0,0.0
2025-09-10 00:22:00,0.0,-0.6,-2.5,,341.1,,,0.0,0.0
2025-09-10 00:23:00,0.0,-0.2,-1.8,,342.2,,,0.0,0.0
2025-09-10 00:24:00,0.0,-0.3,-1.8,,343.4,,,0.0,0.0
2025-09-10 00:25:00,0.0,-0.2,-1.8,,345.4,,,0.0,0.0
2025-09-10 00:26:00,0.0,-0.3,-1.9,,348.0,,,0.0,0.0
2025-09-10 00:27:00,0.0,-0.2,-1.5,,351.1,,,0.0,0.0
2025-09-10 00:28:00,0.0,-0.2,-1.8,,353.3,,,0.0,0.0
2025-09-10 00:29:00,0.0,-0.2,-1.7,,354.3,,,0.0,0.0
2025-09-10 00:30:00,0.0,-0.1,-1.6,,353.4,,,0.0,0.0
2025-09-10 00:31:00,0.0,0.0,-1.4,,351.8,,,0.0,0.0
2025-09-10 00:32:00,0.0,-0.1,-1.7,,350.4,,,0.0,0.0
2025-09-10 00:33:00,0.0,-0.1,-1.5,,350.4,,,0.0,0.0
2025-09-10 00:34:00,0.0,0.0,-1.6,,351.6,,,0.0,0.0
2025-09-10 00:35:00,0.0,0.0,-1.7,,353.4,,,0.0,0.0
2025-09-10 00:36:00,0.0,-0.1,-1.6,,355.8,,,0.0,0.0
2025-09-10 00:37:00,0.0,0.0,-1.4,,358.3,,,0.0,0.0
2025-09-10 00:38:00,0.0,0.1,-1.5,,360.6,,,0.0,0.0
