Time,Air temperature (degC),Cloud amount (1/8),Dew-point temperature (degC),Wind direction (deg),Wind speed (m/s),Relative humidity (%),Precipitation amount (mm)
2025-06-02 00:00:00,11.6,0.0,2.4,238.0,3.3,53.0,0.0
2025-06-02 00:10:00,11.6,0.0,2.1,234.0,3.6,52.0,
2025-06-02 00:20:00,11.6,0.0,2.0,233.0,3.4,52.0,
2025-06-02 00:30:00,11.3,0.0,2.0,230.0,2.9,53.0,
2025-06-02 00:40:00,11.3,0.0,2.3,226.0,2.8,54.0,
2025-06-02 00:50:00,11.3,0.0,1.8,223.0,2.7,52.0,
2025-06-02 01:00:00,11.3,0.0,1.4,216.0,2.5,51.0,0.0
2025-06-02 01:10:00,11.4,0.0,1.2,200.0,2.3,50.0,
2025-06-02 01:20:00,11.3,0.0,1.3,208.0,3.0,50.0,
2025-06-02 01:30:00,11.3,0.0,2.4,213.0,3.3,54.0,
2025-06-02 01:40:00,10.8,0.0,4.5,212.0,3.3,65.0,
2025-06-02 01:50:00,10.4,0.0,6.0,205.0,2.6,74.0,
2025-06-02 02:00:00,10.2,0.0,6.1,181.0,2.1,76.0,0.0
2025-06-02 02:10:00,10.5,0.0,6.0,176.0,3.0,73.0,
2025-06-02 02:20:00,10.8,0.0,5.7,179.0,3.2,71.0,
2025-06-02 02:30:00,10.8,0.0,6.0,178.0,3.0,72.0,
2025-06-02 02:40:00,10.6,0.0,6.4,181.0,2.8,75.0,
2025-06-02 02:50:00,10.5,0.0,6.6,169.0,2.5,77.0,
2025-06-02 03:00:00,10.7,0.0,7.1,166.0,3.4,78.0,0.0
2025-06-02 03:10:00,10.9,0.0,7.0,172.0,3.4,77.0,
2025-06-02 03:20:00,11.1,1.0,6.8,159.0,3.3,75.0,
2025-06-02 03:30:00,11.4,3.0,6.7,162.0,3.0,73.0,
2025-06-02 03:40:00,11.8,5.0,6.6,156.0,2.9,70.0,
2025-06-02 03:50:00,11.8,7.0,6.4,143.0,3.1,69.0,
2025-06-02 04:00:00,11.7,5.0,6.3,148.0,3.7,70.0,0.0
2025-06-02 04:10:00,11.7,5.0,6.6,147.0,3.4,71.0,
2025-06-02 04:20:00,11.6,5.0,6.4,147.0,3.2,70.0,
