Time,Air temperature (degC),Cloud amount (1/8),Dew-point temperature (degC),Wind direction (deg),Wind speed (m/s),Relative humidity (%),Precipitation amount (mm)
2025-04-28 00:00:00,5.3,3.0,0.8,225.0,7.2,73.0,0.0
2025-04-28 00:10:00,5.1,3.0,1.2,221.0,7.3,76.0,
2025-04-28 00:20:00,4.9,3.0,1.3,221.0,6.6,78.0,
2025-04-28 00:30:00,4.9,1.0,1.5,223.0,7.1,79.0,
2025-04-28 00:40:00,4.8,0.0,1.4,225.0,7.2,79.0,
2025-04-28 00:50:00,4.7,0.0,1.4,228.0,6.2,79.0,
2025-04-28 01:00:00,4.8,0.0,1.5,228.0,7.3,79.0,0.0
2025-04-28 01:10:00,4.7,0.0,1.5,226.0,6.7,80.0,
2025-04-28 01:20:00,4.6,0.0,1.6,226.0,7.0,81.0,
2025-04-28 01:30:00,4.7,0.0,1.6,228.0,6.5,80.0,
2025-04-28 01:40:00,4.6,0.0,1.6,229.0,6.8,81.0,
2025-04-28 01:50:00,4.7,1.0,1.5,231.0,6.3,80.0,
2025-04-28 02:00:00,5.2,3.0,1.2,233.0,7.1,75.0,0.0
2025-04-28 02:10:00,5.2,5.0,1.1,233.0,6.0,75.0,
2025-04-28 02:20:00,5.1,5.0,0.9,234.0,6.9,74.0,
2025-04-28 02:30:00,5.0,5.0,0.9,234.0,7.1,75.0,
2025-04-28 02:40:00,5.2,5.0,1.1,232.0,8.9,74.0,
2025-04-28 02:50:00,5.2,5.0,1.3,235.0,7.8,76.0,
2025-04-28 03:00:00,5.3,5.0,1.5,237.0,7.2,76.0,0.0
2025-04-28 03:10:00,5.2,5.0,1.7,235.0,6.9,78.0,
2025-04-28 03:20:00,5.1,3.0,1.8,235.0,7.9,79.0,
2025-04-28 03:30:00,5.2,5.0,2.1,233.0,8.5,81.0,
2025-04-28 03:40:00,5.3,5.0,2.3,237.0,7.5,81.0,
2025-04-28 03:50:00,5.2,7.0,2.5,237.0,8.4,83.0,
2025-04-28 04:00:00,5.3,7.0,2.7,237.0,8.5,83.0,0.0
2025-04-28 04:10:00,5.3,7.0,2.8,235.0,8.1,84.0,
2025-04-28 04:20:00,5.2,7.0,2.9,237.0,6.8,85.0,
2025-04-28 04:30:00,5.3,7.0,3.0,237.0,7.3,85.0,
2025-04-28 04:40:00,5.2,7.0,3.1,237.0,7.1,86.0,
