Time,Air temperature (degC),Cloud amount (1/8),Dew-point temperature (degC),Wind direction (deg),Wind speed (m/s),Relative humidity (%),Precipitation amount (mm)
2025-04-23 00:00:00,6.0,8.0,5.9,46.0,1.8,99.0,0.5
2025-04-23 00:10:00,6.1,8.0,5.9,26.0,1.1,99.0,
2025-04-23 00:20:00,6.1,8.0,5.9,14.0,1.5,99.0,
2025-04-23 00:30:00,6.1,8.0,5.9,8.0,1.8,99.0,
2025-04-23 00:40:00,6.1,8.0,5.9,11.0,2.0,99.0,
2025-04-23 00:50:00,6.1,8.0,5.9,46.0,1.6,98.0,
2025-04-23 01:00:00,6.1,8.0,5.9,25.0,1.9,99.0,0.1
2025-04-23 01:10:00,6.1,8.0,5.9,353.0,1.4,99.0,
2025-04-23 01:20:00,6.1,8.0,5.9,347.0,1.5,99.0,
2025-04-23 01:30:00,6.1,7.0,5.9,341.0,1.6,99.0,
2025-04-23 01:40:00,6.1,8.0,5.9,346.0,2.0,99.0,
2025-04-23 01:50:00,6.1,8.0,5.9,347.0,2.3,99.0,
2025-04-23 02:00:00,6.1,8.0,5.9,344.0,2.5,99.0,0.0
2025-04-23 02:10:00,6.1,8.0,5.9,347.0,2.1,99.0,
2025-04-23 02:20:00,6.0,8.0,5.9,352.0,1.5,99.0,
2025-04-23 02:30:00,6.0,8.0,5.9,343.0,1.3,99.0,
2025-04-23 02:40:00,6.0,8.0,5.9,325.0,1.5,99.0,
2025-04-23 02:50:00,6.0,8.0,5.9,319.0,2.0,99.0,
2025-04-23 03:00:00,6.0,8.0,5.9,318.0,2.4,99.0,0.0
2025-04-23 03:10:00,6.0,8.0,5.9,357.0,2.0,99.0,
2025-04-23 03:20:00,6.0,8.0,5.9,332.0,1.5,99.0,
2025-04-23 03:30:00,6.0,8.0,5.9,336.0,2.5,99.0,
2025-04-23 03:40:00,6.0,8.0,5.9,325.0,2.3,99.0,
2025-04-23 03:50:00,6.0,8.0,5.9,323.0,3.0,99.0,
2025-04-23 04:00:00,6.0,8.0,5.9,324.0,1.6,100.0,0.0
2025-04-23 04:10:00,6.0,8.0,5.9,329.0,2.2,99.0,
2025-04-23 04:20:00,6.0,8.0,5.8,329.0,2.5,99.0,
2025-04-23 04:30:00,5.9,8.0,5.8,323.0,1.8,99.0,
2025-04-23 04:40:00,6.0,8.0,5.8,326.0,1.8,99.0,
2025-04-23 04:50:00,5.9,8.0,5.8,309.0,2.4,99.0,
2025-04-23 05:00:00,5.9,8.0,5.7,306.0,2.9,99.0,0.0
2025-04-23 05:10:00,5.9,8.0,5.6,320.0,2.9,98.0,
2025-04-23 05:20:00,5.9,8.0,5.6,318.0,3.0,98.0,
2025-04-23 05:30:00,5.8,8.0,5.5,318.0,2.7,98.0,
2025-04-23 05:40:00,5.8,8.0,5.4,316.0,2.8,97.0,
2025-04-23 05:50:00,5.8,8.0,5.1,329.0,3.3,96.0,
2025-04-23 06:00:00,5.7,8.0,5.1,326.0,2.5,96.0,0.0
2025-04-23 06:10:00,5.7,7.0,5.2,305.0,2.4,97.0,
2025-04-23 06:20:00,5.7,7.0,5.3,292.0,2.4,97.0,
2025-04-23 06:30:00,6.0,8.0,5.4,294.0,2.4,96.0,
2025-04-23 06:40:00,6.0,8.0,5.4,308.0,2.7,96.0,
2025-04-23 06:50:00,5.9,8.0,5.2,299.0,3.0,95.0,
2025-04-23 07:00:00,5.8,7.0,5.1,293.0,2.6,95.0,0.0
2025-04-23 07:10:00,5.8,7.0,5.3,297.0,3.1,96.0,
2025-04-23 07:20:00,5.8,7.0,5.2,292.0,2.8,96.0,
2025-04-23 07:30:00,5.9,7.0,5.2,288.0,2.7,96.0,
2025-04-23 07:40:00,6.0,7.0,5.3,295.0,2.8,95.0,
2025-04-23 07:50:00,6.3,7.0,5.7,287.0,2.2,96.0,
2025-04-23 08:00:00,6.3,7.0,5.6,291.0,2.5,95.0,0.0
2025-04-23 08:10:00,6.4,7.0,5.6,288.0,3.3,95.0,
2025-04-23 08:20:00,6.4,8.0,5.5,293.0,3.3,94.0,
