Time,Air temperature (degC),Cloud amount (1/8),Dew-point temperature (degC),Wind direction (deg),Wind speed (m/s),Relative humidity (%),Precipitation amount (mm)
2025-10-01 00:00:00,6.9,7.0,3.3,46.0,1.9,78.0,0.0
2025-10-01 00:10:00,7.0,7.0,2.8,51.0,2.4,75.0,
2025-10-01 00:20:00,6.8,8.0,3.5,47.0,1.9,80.0,
2025-10-01 00:30:00,6.8,8.0,2.9,46.0,1.7,76.0,
2025-10-01 00:40:00,7.6,8.0,2.4,52.0,2.8,70.0,
2025-10-01 00:50:00,7.7,7.0,2.4,53.0,3.2,70.0,
2025-10-01 01:00:00,7.6,7.0,2.4,51.0,3.0,70.0,0.0
2025-10-01 01:10:00,7.6,8.0,2.4,49.0,3.0,70.0,
2025-10-01 01:20:00,7.6,8.0,2.4,47.0,3.1,70.0,
2025-10-01 01:30:00,7.6,8.0,2.3,51.0,2.7,69.0,
2025-10-01 01:40:00,7.6,8.0,2.5,51.0,2.7,70.0,
2025-10-01 01:50:00,7.7,8.0,2.5,52.0,3.0,70.0,
2025-10-01 02:00:00,7.6,8.0,2.8,52.0,2.7,71.0,0.0
2025-10-01 02:10:00,7.7,8.0,2.7,54.0,2.7,70.0,
2025-10-01 02:20:00,7.6,7.0,2.8,56.0,2.2,72.0,
2025-10-01 02:30:00,7.7,8.0,2.8,55.0,2.7,71.0,
2025-10-01 02:40:00,7.6,8.0,2.9,54.0,2.8,72.0,
2025-10-01 02:50:00,7.6,8.0,3.0,52.0,2.9,72.0,
2025-10-01 03:00:00,7.5,8.0,3.0,53.0,3.0,73.0,0.0
2025-10-01 03:10:00,7.5,8.0,3.1,56.0,2.6,74.0,
2025-10-01 03:20:00,7.5,8.0,3.0,58.0,2.5,73.0,
2025-10-01 03:30:00,7.5,8.0,3.1,57.0,2.4,74.0,
2025-10-01 03:40:00,7.4,8.0,3.1,52.0,2.4,74.0,
2025-10-01 03:50:00,7.4,8.0,3.1,58.0,2.2,74.0,
2025-10-01 04:00:00,7.4,8.0,3.2,57.0,2.0,75.0,0.0
2025-10-01 04:10:00,7.3,8.0,3.3,60.0,2.0,76.0,
2025-10-01 04:20:00,7.4,8.0,3.4,61.0,2.1,76.0,
2025-10-01 04:30:00,7.3,8.0,3.6,51.0,2.0,78.0,
2025-10-01 04:40:00,7.3,8.0,3.6,49.0,2.2,77.0,
2025-10-01 04:50:00,7.0,8.0,4.4,49.0,2.0,84.0,
