Time,Air temperature (degC),Cloud amount (1/8),Dew-point temperature (degC),Wind direction (deg),Wind speed (m/s),Relative humidity (%),Precipitation amount (mm)
2025-05-11 00:00:00,7.3,7.0,-1.8,348.0,2.8,52.0,0.0
2025-05-11 00:10:00,6.9,8.0,-1.6,342.0,2.5,54.0,
2025-05-11 00:20:00,7.1,7.0,-2.1,345.0,3.0,52.0,
2025-05-11 00:30:00,7.5,7.0,-2.0,349.0,3.4,51.0,
2025-05-11 00:40:00,7.7,7.0,-2.2,358.0,3.3,50.0,
2025-05-11 00:50:00,7.6,7.0,-2.0,356.0,2.9,51.0,
2025-05-11 01:00:00,7.5,7.0,-2.2,350.0,2.9,50.0,0.0
2025-05-11 01:10:00,7.5,7.0,-2.3,2.0,3.1,50.0,
2025-05-11 01:20:00,7.5,7.0,-2.3,8.0,2.9,50.0,
2025-05-11 01:30:00,7.3,8.0,-1.8,16.0,2.6,52.0,
2025-05-11 01:40:00,6.8,7.0,-1.6,19.0,2.3,55.0,
2025-05-11 01:50:00,7.1,7.0,-2.1,5.0,2.4,52.0,
2025-05-11 02:00:00,7.2,8.0,-2.1,356.0,2.8,52.0,0.0
2025-05-11 02:10:00,7.4,8.0,-2.1,17.0,2.9,51.0,
2025-05-11 02:20:00,7.3,8.0,-1.9,25.0,2.5,52.0,
2025-05-11 02:30:00,7.3,8.0,-2.1,28.0,2.8,51.0,
2025-05-11 02:40:00,7.2,8.0,-2.2,26.0,2.8,51.0,
2025-05-11 02:50:00,7.2,8.0,-2.1,22.0,2.8,52.0,
2025-05-11 03:00:00,7.2,8.0,-2.1,23.0,2.5,52.0,0.0
2025-05-11 03:10:00,7.1,8.0,-2.2,26.0,2.3,52.0,
2025-05-11 03:20:00,6.9,8.0,-2.2,14.0,2.7,53.0,
2025-05-11 03:30:00,6.7,7.0,-2.1,8.0,2.4,53.0,
2025-05-11 03:40:00,6.6,7.0,-2.0,15.0,2.3,54.0,
2025-05-11 03:50:00,6.7,8.0,-2.0,17.0,2.6,54.0,
2025-05-11 04:00:00,6.3,8.0,-2.0,17.0,2.2,55.0,0.0
2025-05-11 04:10:00,6.2,8.0,-1.6,17.0,1.9,57.0,
2025-05-11 04:20:00,6.2,7.0,-2.0,11.0,2.4,56.0,
2025-05-11 04:30:00,6.1,7.0,-1.9,21.0,1.6,57.0,
2025-05-11 04:40:00,6.1,7.0,-2.0,18.0,2.4,56.0,
2025-05-11 04:50:00,6.0,7.0,-1.9,15.0,2.4,57.0,
2025-05-11 05:00:00,5.8,7.0,-2.0,9.0,2.2,57.0,0.0
2025-05-11 05:10:00,5.6,7.0,-1.6,22.0,1.7,59.0,
2025-05-11 05:20:00,5.4,7.0,-1.1,5.0,1.8,63.0,
2025-05-11 05:30:00,5.1,7.0,-1.9,347.0,1.7,61.0,
2025-05-11 05:40:00,5.6,7.0,-1.6,20.0,1.9,60.0,
2025-05-11 05:50:00,5.9,7.0,-1.7,22.0,2.0,58.0,
2025-05-11 06:00:00,6.0,7.0,-1.8,17.0,2.3,58.0,0.0
2025-05-11 06:10:00,6.2,7.0,-1.8,19.0,2.4,56.0,
2025-05-11 06:20:00,6.4,7.0,-1.7,8.0,2.0,56.0,
2025-05-11 06:30:00,6.7,8.0,-1.7,19.0,1.6,55.0,
2025-05-11 06:40:00,6.9,7.0,-2.0,10.0,2.1,53.0,
2025-05-11 06:50:00,7.3,7.0,-2.0,359.0,1.8,52.0,
2025-05-11 07:00:00,7.6,7.0,-1.8,22.0,2.8,51.0,0.0
2025-05-11 07:10:00,7.2,5.0,-2.6,37.0,2.9,50.0,
2025-05-11 07:20:00,7.2,1.0,-2.5,33.0,3.3,50.0,
2025-05-11 07:30:00,7.1,1.0,-2.7,27.0,3.9,50.0,
2025-05-11 07:40:00,7.0,0.0,-2.7,22.0,4.0,50.0,
2025-05-11 07:50:00,7.3,0.0,-2.6,22.0,4.1,50.0,
